Edition,Footnote,Type,Designation,,,,,,,A ,d,tw,tw/2,bf,tf,T,k,k1,W,bf/2tf,h/tw,Fy''',X1,X2x106,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(?),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Sw1,Sw2,Sw3,Qf,Qw,B,b,Ht / t,h/tdes,b/tdes,D/t,Ht,h,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,twdet/2,tfdet,kdes,kdet,B/t,Sz,Qs,Iz,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
14th,–,W,W40X324,–,–,–,–,–,–,95.3,40.2,1,–,15.9,1.81,–,–,1 11/16,324,4.4,34.2,–,–,–,25600,1460,1280,16.4,–,–,1220,239,153,3.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.4,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,448000,–,–,–,–,153,–,1100,–,–,259,720,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40  1/8 ,15  7/8 ,1,  1/2 ,1 13/16,2.99,3  1/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.27,38.4,124,140
14th,–,W,W40X297,–,–,–,–,–,–,87.3,39.8,0.93,–,15.8,1.65,–,–,1 11/16,297,4.8,36.8,–,–,–,23200,1330,1170,16.3,–,–,1090,215,138,3.54,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,61.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,399000,–,–,–,–,151,–,982,–,–,234,652,–,–,–,–,–,–,–,–,–,–,–,–,–,–,39  7/8 ,15  7/8 , 15/16,  1/2 ,1  5/8 ,2.83,2 15/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.22,38.2,123,139
14th,–,W,W40X277,–,–,–,–,–,–,81.5,39.7,0.83,–,15.8,1.58,–,–,1  5/8 ,277,5.03,41.2,–,–,–,21900,1250,1100,16.4,–,–,1040,204,132,3.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,51.5,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,379000,–,–,–,–,151,–,940,–,–,225,614,–,–,–,–,–,–,–,–,–,–,–,–,–,–,39  3/4 ,15  7/8 , 13/16,  7/16,1  9/16,2.76,2  7/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.25,38.1,123,139
14th,–,W,W40X249,–,–,–,–,–,–,73.5,39.4,0.75,–,15.8,1.42,–,–,1  9/16,249,5.55,45.6,–,–,–,19600,1120,993,16.3,–,–,926,182,118,3.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,38.1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,334000,–,–,–,–,150,–,841,–,–,203,551,–,–,–,–,–,–,–,–,–,–,–,–,–,–,39  3/8 ,15  3/4 ,  3/4 ,  3/8 ,1  7/16,2.6,2 11/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.21,38,122,138
14th,–,W,W40X215,–,–,–,–,–,–,63.5,39,0.65,–,15.8,1.22,–,–,1  9/16,215,6.45,52.6,–,–,–,16700,964,859,16.2,–,–,803,156,101,3.54,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,24.8,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,284000,–,–,–,–,149,–,719,–,–,175,473,–,–,–,–,–,–,–,–,–,–,–,–,–,–,39,15  3/4 ,  5/8 ,  5/16,1  1/4 ,2.4,2  1/2 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.19,37.8,122,138
14th,–,W,W40X199,–,–,–,–,–,–,58.8,38.7,0.65,–,15.8,1.07,–,–,1  9/16,199,7.39,52.6,–,–,–,14900,869,770,16,–,–,695,137,88.2,3.45,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,18.3,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,246000,–,–,–,–,149,–,628,–,–,153,427,–,–,–,–,–,–,–,–,–,–,–,–,–,–,38  5/8 ,15  3/4 ,  5/8 ,  5/16,1  1/16,2.25,2  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.12,37.6,121,137
14th,–,W,W40X392,–,–,–,–,–,–,116,41.6,1.42,–,12.4,2.52,–,–,1 15/16,392,2.45,24.1,–,–,–,29900,1710,1440,16.1,–,–,803,212,130,2.64,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,172,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,306000,–,–,–,–,121,–,946,–,–,270,848,–,–,–,–,–,–,–,–,–,–,–,–,–,–,41  5/8 ,12  3/8 ,1  7/16,  3/4 ,2  1/2 ,3.7,3 13/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.3,39.1,116,128
14th,–,W,W40X331,–,–,–,–,–,–,97.7,40.8,1.22,–,12.2,2.13,–,–,1 13/16,331,2.86,28,–,–,–,24700,1430,1210,15.9,–,–,644,172,106,2.57,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,105,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,241000,–,–,–,–,118,–,766,–,–,226,706,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40  3/4 ,12  1/8 ,1  1/4 ,  5/8 ,2  1/8 ,3.31,3  3/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.21,38.7,114,126
14th,–,W,W40X327,–,–,–,–,–,–,95.9,40.8,1.18,–,12.1,2.13,–,–,1 13/16,327,2.85,29,–,–,–,24500,1410,1200,16,–,–,640,170,105,2.58,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,103,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,239000,–,–,–,–,117,–,754,–,–,225,695,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40  3/4 ,12  1/8 ,1  3/16,  5/8 ,2  1/8 ,3.31,3  3/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.21,38.7,114,126
14th,–,W,W40X294,–,–,–,–,–,–,86.2,40.4,1.06,–,12,1.93,–,–,1  3/4 ,294,3.11,32.2,–,–,–,21900,1270,1080,15.9,–,–,562,150,93.5,2.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,76.6,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,208000,–,–,–,–,115,–,668,–,–,203,622,–,–,–,–,–,–,–,–,–,–,–,–,–,–,40  3/8 ,12,1  1/16,  9/16,1 15/16,3.11,3  3/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,3.16,38.5,113,125
