Edition,Footnote,Type,Designation,,,,,,,A ,d,tw,tw/2,bf,tf,T,k,k1,W,bf/2tf,h/tw,Fy''',X1,X2x106,Ix,Zx,Sx,rx,y,yp,Iy,Zy,Sy,ry,x,xp,rz,maxf,Grip,eo,Qs36,Qs50,Qs36c,Qs50c,Qs36s,Qs50s,Astem,tan(?),twstem,twstem/2,OD,ID,twall,J,t,Iy',Sy',ry',sched,Anet36,d1A36,IxA36,SxA36,rxA36,y1A36,ryA36,AnetASTM,d1ASTM,IxASTM,SxASTM,rxASTM,y1ASTM,ryASTM,d/t,ry0,ry1_4,ry3_8,ry1_2,ry5_8,ry3_4,d/Af,rT,Fy'',Cw,Fy',Cc50',Cc36',a,Wno,Sw,Sw1,Sw2,Sw3,Qf,Qw,B,b,Ht / t,h/tdes,b/tdes,D/t,Ht,h,tnom,tdes,b / t,C,ro,H,ddet,bfdet,twdet,twdet/2,tfdet,kdes,kdet,B/t,Sz,Qs,Iz,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PB
14th,–,C,C8X11.5,–,–,–,–,–,–,3.37,8,0.22,–,2.26,0.39,–,–,–,11.5,–,30,–,–,–,32.5,9.63,8.14,3.11,–,–,1.31,1.57,0.775,0.623,0.572,0.211,–,–,–,0.697,–,–,–,–,–,–,–,–,–,–,–,–,–,0.13,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.5,–,–,–,–,5.11,–,1.34,0.855,0.43,3.03,4.79,–,–,–,–,–,–,–,–,–,–,5.79,–,3.41,0.862,8,2  1/4 ,  1/4 ,  1/8 ,  3/8 ,0.938, 15/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.756,7.61,–,–
14th,–,C,C7X14.75,–,–,–,–,–,–,4.33,7,0.419,–,2.3,0.366,–,–,–,14.75,–,13.5,–,–,–,27.2,9.75,7.78,2.51,–,–,1.37,1.63,0.772,0.561,0.532,0.309,–,–,–,0.441,–,–,–,–,–,–,–,–,–,–,–,–,–,0.267,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,13.1,–,–,–,–,4.78,–,1.26,1,0.498,2.28,4.85,–,–,–,–,–,–,–,–,–,–,6.28,–,2.75,0.875,7,2  1/4 ,  7/16,  1/4 ,  3/8 ,0.875,  7/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.738,6.63,–,–
14th,–,C,C7X12.25,–,–,–,–,–,–,3.59,7,0.314,–,2.19,0.366,–,–,–,12.25,–,18,–,–,–,24.2,8.46,6.92,2.59,–,–,1.16,1.42,0.696,0.568,0.525,0.257,–,–,–,0.538,–,–,–,–,–,–,–,–,–,–,–,–,–,0.161,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.2,–,–,–,–,4.44,–,1.09,0.793,0.406,2.28,4.2,–,–,–,–,–,–,–,–,–,–,5.98,–,2.86,0.862,7,2  1/4 ,  5/16,  3/16,  3/8 ,0.875,  7/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.722,6.63,–,–
14th,–,C,C7X9.8,–,–,–,–,–,–,2.87,7,0.21,–,2.09,0.366,–,–,–,9.8,–,26.9,–,–,–,21.2,7.19,6.07,2.72,–,–,0.957,1.26,0.617,0.578,0.541,0.205,–,–,–,0.647,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0996,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,9.15,–,–,–,–,4.09,–,0.922,0.58,0.289,2.28,3.57,–,–,–,–,–,–,–,–,–,–,5.71,–,3.02,0.845,7,2  1/8 ,  3/16,  1/8 ,  3/8 ,0.875,  7/8 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.698,6.63,–,–
14th,–,C,C6X13,–,–,–,–,–,–,3.82,6,0.437,–,2.16,0.343,–,–,–,13,–,11,–,–,–,17.3,7.29,5.78,2.13,–,–,1.05,1.35,0.638,0.524,0.514,0.318,–,–,–,0.38,–,–,–,–,–,–,–,–,–,–,–,–,–,0.237,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,7.19,–,–,–,–,3.8,–,0.875,0.702,0.345,1.67,3.64,–,–,–,–,–,–,–,–,–,–,6.3,–,2.37,0.858,6,2  1/8 ,  7/16,  1/4 ,  5/16,0.813, 13/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.689,5.66,–,–
14th,–,C,C6X10.5,–,–,–,–,–,–,3.07,6,0.314,–,2.03,0.343,–,–,–,10.5,–,15.3,–,–,–,15.1,6.18,5.04,2.22,–,–,0.86,1.14,0.561,0.529,0.5,0.256,–,–,–,0.486,–,–,–,–,–,–,–,–,–,–,–,–,–,0.128,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,5.91,–,–,–,–,3.48,–,0.734,0.534,0.275,1.66,3.08,–,–,–,–,–,–,–,–,–,–,5.92,–,2.48,0.842,6,2,  5/16,  3/16,  5/16,0.813, 13/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.669,5.66,–,–
14th,–,C,C6X8.2,–,–,–,–,–,–,2.39,6,0.2,–,1.92,0.343,–,–,–,8.2,–,24.1,–,–,–,13.1,5.16,4.35,2.34,–,–,0.687,0.987,0.488,0.536,0.512,0.199,–,–,–,0.599,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0736,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,4.7,–,–,–,–,3.17,–,0.61,0.373,0.187,1.67,2.57,–,–,–,–,–,–,–,–,–,–,5.6,–,2.65,0.824,6,1  7/8 ,  3/16,  1/8 ,  5/16,0.813, 13/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.643,5.66,–,–
14th,–,C,C5X9,–,–,–,–,–,–,2.64,5,0.325,–,1.89,0.32,–,–,–,9,–,11.7,–,–,–,8.89,4.39,3.56,1.84,–,–,0.624,0.913,0.444,0.486,0.478,0.264,–,–,–,0.427,–,–,–,–,–,–,–,–,–,–,–,–,–,0.109,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.93,–,–,–,–,2.66,–,0.485,0.355,0.17,1.17,2.19,–,–,–,–,–,–,–,–,–,–,5.91,–,2.1,0.815,5,1  7/8 ,  5/16,  3/16,  5/16,0.75,  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.616,4.68,–,–
14th,–,C,C5X6.7,–,–,–,–,–,–,1.97,5,0.19,–,1.75,0.32,–,–,–,6.7,–,20,–,–,–,7.48,3.55,2.99,1.95,–,–,0.47,0.757,0.372,0.489,0.484,0.215,–,–,–,0.552,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0549,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2.22,–,–,–,–,2.36,–,0.38,0.224,0.113,1.17,1.76,–,–,–,–,–,–,–,–,–,–,5.47,–,2.26,0.79,5,1  3/4 ,  3/16,  1/8 ,  5/16,0.75,  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.584,4.68,–,–
14th,–,C,C4X7.25,–,–,–,–,–,–,2.13,4,0.321,–,1.72,0.296,–,–,–,7.25,–,8.9,–,–,–,4.58,2.84,2.29,1.47,–,–,0.425,0.695,0.337,0.447,0.459,0.266,–,–,–,0.386,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0817,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.24,–,–,–,–,1.88,–,0.281,0.199,0.101,0.767,1.41,–,–,–,–,–,–,–,–,–,–,5.81,–,1.75,0.767,4,1  3/4 ,  5/16,  3/16,  5/16,0.75,  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.563,3.7,–,–
14th,–,C,C4X6.25,–,–,–,–,–,–,1.77,4,0.247,–,1.65,0.272,–,–,–,6.25,–,11.7,–,–,–,4,2.43,2,1.5,–,–,0.345,0.569,0.284,0.441,0.435,0.221,–,–,–,0.434,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0487,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.03,–,–,–,–,1.81,–,0.238,0.159,0.0805,0.711,1.21,–,–,–,–,–,–,–,–,–,–,6.07,–,1.79,0.764,4,1  3/4 ,  1/4 ,  1/8 ,  5/16,0.75,  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.546,3.73,–,–
14th,–,C,C4X5.4,–,–,–,–,–,–,1.58,4,0.184,–,1.58,0.296,–,–,–,5.4,–,15.5,–,–,–,3.85,2.29,1.92,1.56,–,–,0.312,0.565,0.277,0.444,0.457,0.231,–,–,–,0.501,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0399,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.921,–,–,–,–,1.66,–,0.219,0.123,0.0637,0.765,1.13,–,–,–,–,–,–,–,–,–,–,5.34,–,1.88,0.742,4,1  5/8 ,  3/16,  1/8 ,  5/16,0.75,  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.528,3.7,–,–
14th,–,C,C4X4.5,–,–,–,–,–,–,1.38,4,0.125,–,1.58,0.296,–,–,–,4.5,–,22.8,–,–,–,3.65,2.12,1.83,1.63,–,–,0.289,0.531,0.265,0.457,0.493,0.321,–,–,–,0.587,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0322,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.871,–,–,–,–,1.61,–,0.206,0.0908,0.0481,0.798,1.05,–,–,–,–,–,–,–,–,–,–,5.34,–,2.01,0.71,4,1  5/8 ,  1/8 ,  1/16,  5/16,0.75,  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.524,3.7,–,–
14th,–,C,C3X6,–,–,–,–,–,–,1.76,3,0.356,–,1.6,0.273,–,–,–,6,–,5.38,–,–,–,2.07,1.74,1.38,1.09,–,–,0.3,0.543,0.263,0.413,0.455,0.294,–,–,–,0.322,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0725,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.462,–,–,–,–,1.26,–,0.158,0.112,0.0538,0.463,0.864,–,–,–,–,–,–,–,–,–,–,5.86,–,1.4,0.69,3,1  5/8 ,  3/8 ,  3/16,  1/4 ,0.688, 11/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.519,2.73,–,–
14th,–,C,C3X5,–,–,–,–,–,–,1.47,3,0.258,–,1.5,0.273,–,–,–,5,–,7.42,–,–,–,1.85,1.52,1.23,1.12,–,–,0.241,0.464,0.228,0.405,0.439,0.245,–,–,–,0.392,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0425,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.379,–,–,–,–,1.16,–,0.135,0.084,0.0412,0.462,0.753,–,–,–,–,–,–,–,–,–,–,5.49,–,1.45,0.673,3,1  1/2 ,  1/4 ,  1/8 ,  1/4 ,0.688, 11/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.496,2.73,–,–
14th,–,C,C3X4.1,–,–,–,–,–,–,1.2,3,0.17,–,1.41,0.273,–,–,–,4.1,–,11.3,–,–,–,1.65,1.32,1.1,1.18,–,–,0.191,0.399,0.196,0.398,0.437,0.262,–,–,–,0.461,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0269,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.307,–,–,–,–,1.06,–,0.113,0.0575,0.029,0.462,0.653,–,–,–,–,–,–,–,–,–,–,5.16,–,1.53,0.655,3,1  3/8 ,  3/16,  1/8 ,  1/4 ,0.688, 11/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.469,2.73,–,–
14th,–,C,C3X3.5,–,–,–,–,–,–,1.09,3,0.132,–,1.37,0.273,–,–,–,3.5,–,14.5,–,–,–,1.57,1.24,1.04,1.2,–,–,0.169,0.364,0.182,0.394,0.443,0.296,–,–,–,0.493,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0226,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.276,–,–,–,–,1.02,–,0.103,0.0452,0.0235,0.461,0.609,–,–,–,–,–,–,–,–,–,–,5.02,–,1.57,0.646,3,1  3/8 ,  1/8 ,  1/16,  1/4 ,0.688, 11/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.456,2.73,–,–
14th,–,MC,MC18X58,–,–,–,–,–,–,17.1,18,0.7,–,4.2,0.625,–,–,–,58,–,22.1,–,–,–,675,95.4,75,6.29,–,–,17.6,10.7,5.28,1.02,0.862,0.474,–,–,–,0.695,–,–,–,–,–,–,–,–,–,–,–,–,–,2.81,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1070,–,–,–,–,24.4,–,21.4,18.4,9.28,19,47.4,–,–,–,–,–,–,–,–,–,–,6.72,–,6.56,0.944,18,4  1/4 , 11/16,  3/8 ,  5/8 ,1.44,1  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.35,17.4,–,–
14th,–,MC,MC18X51.9,–,–,–,–,–,–,15.3,18,0.6,–,4.1,0.625,–,–,–,51.9,–,25.8,–,–,–,627,87.3,69.6,6.41,–,–,16.3,9.86,5.02,1.03,0.858,0.424,–,–,–,0.797,–,–,–,–,–,–,–,–,–,–,–,–,–,2.03,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,985,–,–,–,–,23.5,–,19.9,16.6,8.31,19,43.3,–,–,–,–,–,–,–,–,–,–,6.56,–,6.7,0.939,18,4  1/8 ,  5/8 ,  5/16,  5/8 ,1.44,1  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.35,17.4,–,–
14th,–,MC,MC18X45.8,–,–,–,–,–,–,13.5,18,0.5,–,4,0.625,–,–,–,45.8,–,31,–,–,–,578,79.2,64.2,6.55,–,–,14.9,9.14,4.77,1.05,0.866,0.374,–,–,–,0.909,–,–,–,–,–,–,–,–,–,–,–,–,–,1.45,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,897,–,–,–,–,22.5,–,18.3,14.6,7.33,19,39.3,–,–,–,–,–,–,–,–,–,–,6.4,–,6.87,0.933,18,4,  1/2 ,  1/4 ,  5/8 ,1.44,1  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.34,17.4,–,–
14th,–,MC,MC18X42.7,–,–,–,–,–,–,12.6,18,0.45,–,3.95,0.625,–,–,–,42.7,–,34.4,–,–,–,554,75.1,61.5,6.64,–,–,14.3,8.82,4.64,1.07,0.877,0.349,–,–,–,0.969,–,–,–,–,–,–,–,–,–,–,–,–,–,1.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,852,–,–,–,–,22,–,17.4,13.5,6.83,19,37.2,–,–,–,–,–,–,–,–,–,–,6.32,–,6.97,0.93,18,4,  7/16,  1/4 ,  5/8 ,1.44,1  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.34,17.4,–,–
14th,–,MC,MC13X50,–,–,–,–,–,–,14.7,13,0.787,–,4.41,0.61,–,–,–,50,–,13.7,–,–,–,314,60.8,48.3,4.62,–,–,16.4,10.2,4.77,1.06,0.974,0.566,–,–,–,0.815,–,–,–,–,–,–,–,–,–,–,–,–,–,2.96,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,558,–,–,–,–,17.4,–,14.9,12.1,6.18,13.7,30.3,–,–,–,–,–,–,–,–,–,–,7.23,–,5.07,0.875,13,4  3/8 , 13/16,  7/16,  5/8 ,1.44,1  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.41,12.4,–,–
14th,–,MC,MC13X40,–,–,–,–,–,–,11.7,13,0.56,–,4.19,0.61,–,–,–,40,–,19.3,–,–,–,273,51.2,41.9,4.82,–,–,13.7,8.66,4.24,1.08,0.963,0.452,–,–,–,1.03,–,–,–,–,–,–,–,–,–,–,–,–,–,1.55,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,462,–,–,–,–,16.1,–,12.8,9.54,4.56,13.7,25.5,–,–,–,–,–,–,–,–,–,–,6.87,–,5.32,0.859,13,4  1/8 ,  9/16,  5/16,  5/8 ,1.44,1  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.38,12.4,–,–
14th,–,MC,MC13X35,–,–,–,–,–,–,10.3,13,0.447,–,4.07,0.61,–,–,–,35,–,24.2,–,–,–,252,46.5,38.8,4.95,–,–,12.3,8.04,3.97,1.09,0.98,0.396,–,–,–,1.16,–,–,–,–,–,–,–,–,–,–,–,–,–,1.13,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,412,–,–,–,–,15.3,–,11.5,7.85,4.04,13.7,23.1,–,–,–,–,–,–,–,–,–,–,6.67,–,5.5,0.849,13,4  1/8 ,  7/16,  1/4 ,  5/8 ,1.44,1  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.35,12.4,–,–
14th,–,MC,MC13X31.8,–,–,–,–,–,–,9.35,13,0.375,–,4,0.61,–,–,–,31.8,–,28.9,–,–,–,239,43.4,36.7,5.05,–,–,11.4,7.69,3.79,1.1,1,0.36,–,–,–,1.24,–,–,–,–,–,–,–,–,–,–,–,–,–,0.937,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,380,–,–,–,–,14.8,–,10.8,6.9,3.39,13.7,21.6,–,–,–,–,–,–,–,–,–,–,6.56,–,5.64,0.842,13,4,  3/8 ,  3/16,  5/8 ,1.44,1  7/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.34,12.4,–,–
14th,–,MC,MC12X50,–,–,–,–,–,–,14.7,12,0.835,–,4.14,0.7,–,–,–,50,–,11.5,–,–,–,269,56.5,44.9,4.28,–,–,17.4,10.9,5.64,1.09,1.05,0.613,–,–,–,0.741,–,–,–,–,–,–,–,–,–,–,–,–,–,3.23,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,411,–,–,–,–,14.5,–,13,10.3,5.14,13.1,28.1,–,–,–,–,–,–,–,–,–,–,5.91,–,4.77,0.859,12,4  1/8 , 13/16,  7/16, 11/16,1.31,1  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.37,11.3,–,–
14th,–,MC,MC12X45,–,–,–,–,–,–,13.2,12,0.71,–,4.01,0.7,–,–,–,45,–,13.5,–,–,–,251,52,41.9,4.36,–,–,15.8,10.1,5.3,1.09,1.04,0.55,–,–,–,0.844,–,–,–,–,–,–,–,–,–,–,–,–,–,2.33,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,373,–,–,–,–,13.9,–,11.9,9.09,4.5,13.1,25.8,–,–,–,–,–,–,–,–,–,–,5.73,–,4.88,0.851,12,4, 11/16,  3/8 , 11/16,1.31,1  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.35,11.3,–,–
14th,–,MC,MC12X40,–,–,–,–,–,–,11.8,12,0.59,–,3.89,0.7,–,–,–,40,–,16.3,–,–,–,234,47.7,39,4.46,–,–,14.2,9.31,4.98,1.1,1.04,0.49,–,–,–,0.952,–,–,–,–,–,–,–,–,–,–,–,–,–,1.69,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,336,–,–,–,–,13.3,–,10.9,7.83,3.91,13.1,23.7,–,–,–,–,–,–,–,–,–,–,5.56,–,5.01,0.842,12,3  7/8 ,  9/16,  5/16, 11/16,1.31,1  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.33,11.3,–,–
14th,–,MC,MC12X35,–,–,–,–,–,–,10.3,12,0.465,–,3.77,0.7,–,–,–,35,–,20.6,–,–,–,216,43.2,36,4.59,–,–,12.6,8.62,4.64,1.11,1.05,0.428,–,–,–,1.07,–,–,–,–,–,–,–,–,–,–,–,–,–,1.24,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,297,–,–,–,–,12.6,–,9.88,6.52,3.15,13.1,21.4,–,–,–,–,–,–,–,–,–,–,5.39,–,5.18,0.831,12,3  3/4 ,  7/16,  1/4 , 11/16,1.31,1  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.3,11.3,–,–
14th,–,MC,MC12X31,–,–,–,–,–,–,9.12,12,0.37,–,3.67,0.7,–,–,–,31,–,25.9,–,–,–,202,39.7,33.7,4.71,–,–,11.3,8.15,4.37,1.11,1.08,0.425,–,–,–,1.17,–,–,–,–,–,–,–,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,267,–,–,–,–,12,–,8.97,5.34,2.66,13.1,19.7,–,–,–,–,–,–,–,–,–,–,5.24,–,5.34,0.822,12,3  5/8 ,  3/8 ,  3/16, 11/16,1.31,1  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.28,11.3,–,–
14th,–,MC,MC12X14.3,–,–,–,–,–,–,4.18,12,0.25,–,2.12,0.313,–,–,–,14.3,–,43.5,–,–,–,76.1,15.9,12.7,4.27,–,–,1,1.21,0.574,0.489,0.377,0.174,–,–,–,0.435,–,–,–,–,–,–,–,–,–,–,–,–,–,0.117,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,32.8,–,–,–,–,8.39,–,1.89,1.6,0.796,3.42,7.92,–,–,–,–,–,–,–,–,–,–,6.77,–,4.37,0.965,12,2  1/8 ,  1/4 ,  1/8 ,  5/16,0.75,  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.672,11.7,–,–
14th,–,MC,MC12X10.6,–,–,–,–,–,–,3.1,12,0.19,–,1.5,0.309,–,–,–,10.6,–,57.3,–,–,–,55.3,11.6,9.22,4.22,–,–,0.378,0.635,0.307,0.349,0.269,0.129,–,–,–,0.284,–,–,–,–,–,–,–,–,–,–,–,–,–,0.0596,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,11.7,–,–,–,–,6,–,0.951,0.822,0.41,2.37,5.79,–,–,–,–,–,–,–,–,–,–,4.85,–,4.27,0.983,12,1  1/2 ,  3/16,  1/8 ,  5/16,0.75,  3/4 ,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.478,11.7,–,–
14th,–,MC,MC10X41.1,–,–,–,–,–,–,12.1,10,0.796,–,4.32,0.575,–,–,–,41.1,–,9.66,–,–,–,157,39.3,31.5,3.61,–,–,15.7,9.49,4.85,1.14,1.09,0.604,–,–,–,0.864,–,–,–,–,–,–,–,–,–,–,–,–,–,2.26,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,269,–,–,–,–,12.5,–,9.59,7.43,3.74,9.55,19.5,–,–,–,–,–,–,–,–,–,–,7.51,–,4.26,0.79,10,4  3/8 , 13/16,  7/16,  9/16,1.31,1  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.44,9.43,–,–
14th,–,MC,MC10X33.6,–,–,–,–,–,–,9.87,10,0.575,–,4.1,0.575,–,–,–,33.6,–,13.4,–,–,–,139,33.7,27.8,3.75,–,–,13.1,8.28,4.35,1.15,1.09,0.494,–,–,–,1.06,–,–,–,–,–,–,–,–,–,–,–,–,–,1.2,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,224,–,–,–,–,11.6,–,8.24,5.78,2.83,9.55,16.7,–,–,–,–,–,–,–,–,–,–,7.13,–,4.47,0.77,10,4  1/8 ,  9/16,  5/16,  9/16,1.31,1  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.4,9.43,–,–
14th,–,MC,MC10X28.5,–,–,–,–,–,–,8.37,10,0.425,–,3.95,0.575,–,–,–,28.5,–,18.1,–,–,–,126,30,25.3,3.89,–,–,11.3,7.59,3.99,1.16,1.12,0.419,–,–,–,1.21,–,–,–,–,–,–,–,–,–,–,–,–,–,0.791,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,193,–,–,–,–,10.9,–,7.26,4.52,2.2,9.55,14.9,–,–,–,–,–,–,–,–,–,–,6.87,–,4.68,0.752,10,4,  7/16,  1/4 ,  9/16,1.31,1  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.36,9.43,–,–
14th,–,MC,MC10X25,–,–,–,–,–,–,7.34,10,0.38,–,3.41,0.575,–,–,–,25,–,20.2,–,–,–,110,26.2,22,3.87,–,–,7.25,5.65,2.96,0.993,0.953,0.367,–,–,–,1.03,–,–,–,–,–,–,–,–,–,–,–,–,–,0.638,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,124,–,–,–,–,9.43,–,5.42,3.4,1.75,8.21,13,–,–,–,–,–,–,–,–,–,–,5.93,–,4.46,0.803,10,3  3/8 ,  3/8 ,  3/16,  9/16,1.31,1  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.17,9.43,–,–
14th,–,MC,MC10X22,–,–,–,–,–,–,6.45,10,0.29,–,3.32,0.575,–,–,–,22,–,26.5,–,–,–,102,23.9,20.5,3.99,–,–,6.4,5.29,2.75,0.997,0.99,0.467,–,–,–,1.12,–,–,–,–,–,–,–,–,–,–,–,–,–,0.51,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,110,–,–,–,–,9,–,4.95,2.78,1.3,8.21,11.8,–,–,–,–,–,–,–,–,–,–,5.77,–,4.62,0.791,10,3  3/8 ,  5/16,  3/16,  9/16,1.31,1  5/16,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.14,9.43,–,–
